binned_distance	distance	AG.v50.1cell.iced.5kb	AG.v50.48hr.iced.5kb	AG.v50.60hr.iced.5kb	AG.v50.5day.iced.5kb	AG.v50.10day.iced.5kb
15600000	15650629.5	0.011938400128711406	0.004275644	0.003107141	0.002317727	0.015354769548331575
15700000	15750649.5	0.013339412417050623	0.003540992	0.002544665	0.003446492	0.009683976
15800000	15850669.5	0.011211274	0.004011515	0.002635965	0.002481877	0.00982613
15900000	15950689.5	0.013945979046773705	0.004188723	0.002612534	0.003901325	0.009627278
16000000	16050709.5	0.010828020633885433	0.003827034	0.002724988	0.003415407	0.009750049
16100000	16150729.5	0.010867113963074278	0.003739967	0.003083369	0.004110366	0.010522364515452812
16200000	16250749.5	0.011752397311306123	0.004337312	0.003506266	0.002186001	0.009251333
16300000	16350769.5	0.012525534693419162	0.003525506	0.002577464	0.004498427	0.00715908
16400000	16450789.5	0.012355315	0.005480293	0.002744179	0.006880844	0.008771233
16500000	16550809.5	0.011817317255380636	0.003737589	0.003703473	0.003586769	0.009263692
16600000	16650829.5	0.010131292418333633	0.00374745	0.0032378	0.004442348	0.011011234
16700000	16750849.5	0.010384449916691992	0.00520922	0.002932647	0.004860345	0.031123388
16800000	16850869.5	0.012127328	0.004634576	0.003418752	0.009412783	0.020531179286765327
16900000	16950889.5	0.011925603916472231	0.004448374	0.003215076	0.004088951	0.009707626
17000000	17050909.5	0.010632732268377635	0.003888861	0.003061265	0.002261098	0.008319671
17100000	17150929.5	0.011079385445345253	0.00377445	0.003580493	0.00419566	0.007989773
17200000	17250949.5	0.009231739	0.004210323	0.003029934	0.005287396	0.010241246
17300000	17350969.5	0.008572073	0.004674174	0.002968878	0.003276697	0.008274996
17400000	17450989.5	0.010913165488121159	0.003466889	0.002780763	0.004260933	0.008114808
17500000	17551009.5	0.011454401	0.004742249	0.002697705	0.003439185	0.007911432
17600000	17651029.5	0.011869693422280182	0.003441646	0.002547765	0.002170306	0.009302148
17700000	17751049.5	0.008853927	0.003933956	0.002910335	0.003863978	0.009578522
17800000	17851069.5	0.011315871529446665	0.003091049	0.002515528	0.002366248	0.009332309
17900000	17951089.5	0.011440079846480886	0.004221133	0.00268672	0.005165944	0.010650186728285332
18000000	18051109.5	0.009798846	0.003789159	0.002745116	0.016610672533221887	0.009727927
18100000	18151129.5	0.009262285	0.003580298	0.002722166	0.002083132	0.010845883602644426
18200000	18251149.5	0.009722452	0.004745583	0.003605157	0.013050747791527676	0.009089181
18300000	18351169.5	0.007904591	0.002579491	0.002223006	0.001008735	0.012428116994166434
18400000	18451189.5	0.009851662	0.004563987	0.002544641	0.002745768	0.017441689477093736
18500000	18551209.5	0.008937119	0.004048494	0.002539503	0.003538097	0.008745258
18600000	18651229.5	0.008874654	0.003227708	0.002753917	0.002872857	0.011556232027636434
18700000	18751249.5	0.00896752	0.002733564	0.003060188	0.003072197	0.014550463246959066
18800000	18851269.5	0.007512071	0.003234774	0.002308244	0.00308538	0.010262820537856088
18900000	18951289.5	0.007639656	0.003273605	0.002630717	0.002281504	0.010932022929206605
19000000	19051309.5	0.008905117	0.003367508	0.002773761	0.00460864	0.0097433
19100000	19151329.5	0.00920315	0.002795796	0.00264311	0.002817723	0.008272604
19200000	19251349.5	0.008255353	0.003296998	0.002580628	0.001520742	0.008788001
19300000	19351369.5	0.009793369	0.002843544	0.003026768	0.003023121	0.008142311
19400000	19451389.5	0.010181232013074725	0.003911301	0.002296066	0.00590591	0.009595077
19500000	19551409.5	0.008064202	0.003350396	0.002465805	0.007293116	0.007880514
19600000	19651429.5	0.008964485	0.004198792	0.002123939	0.002976485	0.008556977
19700000	19751449.5	0.008686449	0.001982847	0.001904787	0.006427635	0.013167032787629176
19800000	19851469.5	0.008975627	0.004090365	0.003154504	0.002843087	0.006767171
19900000	19951489.5	0.007773833	0.003777278	0.002941591	0.003288627	0.005305614
20000000	20051509.5	0.008475601	0.00383798	0.002862357	0.004359234	0.007495586
20100000	20151529.5	0.007926483	0.005529563	0.003258106	0.001224008	0.00894677
20200000	20251549.5	0.010762199715495257	0.005481449	0.003901151	0.003349981	0.010017197720222384
20300000	20351569.5	0.008429975	0.002238838	0.00166813	0.001313012	0.010726926
20400000	20451589.5	0.007809923	0.003066518	0.002558328	0.001799616	0.007765182
20500000	20551609.5	0.006947834	0.004885306	0.003435382	0.00114423	0.015328619777806399
20600000	20651629.5	0.008643163	0.002601206	0.001288026	0.001326729	0.009517638
20700000	20751649.5	0.007798606	0.004222983	0.002390834	0.001611958	0.009277606
20800000	20851669.5	0.007008052	0.00455675	0.004687105	0.003965261	0.012346065919636873
20900000	20951689.5	0.007305279	0.002297349	0.001836358	0.007027096	0.012806359
21000000	21051709.5	0.007663252	0.003320571	0.002343144	0.005078785	0.006634065
21100000	21151729.5	0.006528555	0.00285439	0.001887527	0.001180979	0.021531375363521597
21200000	21251749.5	0.006435497	0.002461421	0.002002253	0.007287237	0.010324889599817578
21300000	21351769.5	0.012822822740971894	0.003295927	0.00438848	0.008669252	0.010497667518668801
21400000	21451789.5	0.007997006	0.001966251	0.00257456	0.002059606	0.013045814274036721
21500000	21551809.5	0.015934239537173312	0.00508827	0.004325457	0	0.016060908
21600000	21651829.5	0.010740780070464159	0.002645396	0.001614592	0.003396563	0.005351279
21700000	21751849.5	0.020561119424593176	0.001977091	0.004353721	0.017296552	0.015446274832969311
21800000	21851869.5	0.009953655	0.003653515	0.002336638	0.024087495	0.006723918
21900000	21951889.5	0.005825487	0.003377342	0.006066527	0.005036135	0.020184822922933204
22000000	22051909.5	0.007209556	0.006911228	0.003593581	0.004266192	0.007582582
22100000	22151929.5	0.014603321030615197	0.005767222	0.010594765559258217	0.014029122278459984	0.4959930945361871
22200000	22251949.5	0.045107289259970276	0.078750225	0.099871096	0.23598753557534802	0.11832386534988572
22300000	22351969.5	0.17281980155778376	0.3463246766936527	0.2724097255969445	0	0.30238707616400334
22400000	22451989.5	0	0.002883128	0.040880019	0	0
22500000	22552009.5	0	0	0	0	0
